,CarName,doornumber,carbody,wheelbase,cylindernumber
112,88,0,3,107.9,2
102,72,0,4,100.4,3
86,69,0,3,96.3,2
124,90,1,2,95.9,2
180,126,0,3,104.5,3
142,106,0,3,97.2,2
127,97,1,1,89.5,3
78,68,1,2,93.7,2
165,114,1,3,94.5,2
28,33,0,4,103.3,2
89,0,1,3,94.5,2
29,31,1,2,95.9,2
55,53,1,2,95.3,6
34,43,1,2,93.7,2
62,59,0,3,98.8,2
116,85,0,3,107.9,2
94,77,1,3,94.5,2
118,92,1,2,93.7,2
189,145,1,0,94.5,2
43,47,0,3,94.3,2
170,127,1,1,98.4,2
100,79,0,3,97.2,2
141,104,0,3,97.2,2
176,115,0,3,102.4,2
161,115,0,2,95.7,2
23,32,1,2,93.7,2
70,22,0,3,115.6,1
83,63,1,2,95.9,2
115,85,0,3,107.9,2
145,109,0,3,97.0,2
179,120,1,2,102.9,3
105,75,1,2,91.3,3
183,130,1,3,97.3,2
160,120,0,3,95.7,2
119,89,1,2,93.7,2
73,18,0,3,120.9,0
64,53,0,2,98.8,2
199,144,0,4,104.3,2
17,12,0,3,110.0,3
3,4,0,3,99.8,2
19,25,1,2,94.5,2
117,88,0,3,108.0,2
35,38,0,3,96.5,2
93,83,0,4,94.5,2
69,16,1,1,106.7,1
107,85,0,3,107.9,2
66,60,0,3,104.9,2
85,67,0,3,96.3,2
96,76,0,3,94.5,2
36,42,0,4,96.5,2
149,107,0,4,96.9,2
147,111,0,4,97.0,2
33,37,1,2,93.7,2
133,103,0,3,99.1,2
163,118,1,3,94.5,2
72,23,1,0,96.6,0
81,63,1,2,96.3,2
68,17,0,4,110.0,1
131,100,1,2,96.1,2
46,45,1,2,96.0,2
173,115,0,3,102.4,2
61,56,1,2,98.8,2
21,35,1,2,93.7,2
108,84,0,3,107.9,2
15,13,0,3,103.5,3
50,52,1,2,93.1,2
178,118,1,2,102.9,3
197,141,0,4,104.3,2
171,115,1,2,98.4,2
25,29,0,3,93.7,2
4,5,0,3,99.4,1
71,20,0,3,115.6,0
77,64,1,2,93.7,2
121,93,0,3,93.7,2
10,10,1,3,101.2,2
182,129,1,3,97.3,2
76,65,1,2,93.7,2
49,50,1,3,102.0,5
22,27,1,2,93.7,2
54,58,0,3,93.1,2
39,44,0,3,96.5,2
41,39,0,3,96.5,2
48,48,0,3,113.0,3
84,66,1,2,95.9,2
80,66,1,2,96.3,2
195,138,0,4,104.3,2
24,34,0,2,93.7,2
58,55,1,2,95.3,6
8,6,0,3,105.8,1
91,81,1,3,94.5,2
110,85,0,4,114.2,2
114,87,0,4,114.2,2
177,125,0,2,102.4,2
201,138,0,3,109.1,2
52,61,1,2,93.1,2
65,54,0,3,104.9,2
187,136,0,3,97.3,2
104,82,1,2,91.3,3
47,49,0,3,113.0,3
144,108,0,3,97.0,2
196,140,0,3,104.3,2
198,143,0,3,104.3,2
75,62,1,2,102.7,2
204,143,0,3,109.1,2
18,24,1,2,88.4,4
9,8,1,2,99.5,1
26,28,0,3,93.7,2
44,45,1,3,94.5,2
138,104,1,2,93.7,2
169,126,1,2,98.4,2
51,51,1,2,93.1,2
174,113,0,3,102.4,2
154,117,0,4,95.7,2
67,19,0,3,110.0,1
0,2,1,0,88.6,2
185,137,0,3,97.3,2
45,46,0,3,94.5,2
31,43,1,2,86.6,2
150,123,1,2,95.7,2
140,107,1,2,93.3,2
153,121,0,4,95.7,2
11,10,0,3,101.2,2
88,66,0,3,96.3,2
128,96,1,0,89.5,3
20,26,0,3,94.5,2
126,95,1,1,89.5,3
13,12,0,3,101.2,3
98,70,1,1,95.1,2
63,58,0,3,98.8,2
151,120,1,2,95.7,2
109,86,0,4,114.2,2
135,102,0,3,99.1,2
99,81,0,2,97.2,2
146,110,0,4,97.0,2
139,107,1,2,93.7,2
14,15,0,3,103.5,3
129,97,1,2,98.4,0
27,30,1,3,93.7,2
106,70,1,2,99.2,3
130,99,0,4,96.1,2
136,102,1,2,99.1,2
167,122,1,1,98.4,2
92,76,0,3,94.5,2
159,115,0,2,95.7,2
202,140,0,3,109.1,3
125,98,1,2,94.5,2
38,41,1,2,96.5,2
157,116,0,2,95.7,2
30,39,1,2,86.6,2
156,125,0,3,95.7,2
103,80,0,3,100.4,3
132,101,1,2,99.1,2
190,146,1,2,94.5,2
